route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
8,2,471,LOS CRISTIANOS - ESTACIÓN COSTA ADEJE - PLAYA PARAÍSO,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-471,75AD1C,000000
85,2,473,LOS CRISTIANOS-> LOS GIGANTES- POR ADEJE,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-473,75AD1C,000000
240,2,475,GRANADILLA -> CRUZ DE TEA -> GRANADILLA,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-475,75AD1C,000000
115,2,477,ESTACIÓN COSTA ADEJES->LOS GIGANTES(DIRECTO),3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-477,75AD1C,000000
87,2,480,ARONA -> LOS CRISTIANOS-POR LA CAMELLA,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-480,75AD1C,000000
88,2,482,LOS CRISTIANOS->VILAFLOR- POR ARONA,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-482,75AD1C,000000
10,2,483,COSTA ADEJE -> EL MÉDANO- POR LOS CRISTIANOS,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-483,75AD1C,000000
89,2,484,GRANADILLA ->LAS CHAFIRAS,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-484,75AD1C,000000
176,2,486,GRANADILLA -> SAN MIGUEL -> ALDEA BLANCA -> LAS CHAFIRAS -> EL FRAILE,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-486,75AD1C,000000
113,2,490,GUÍA DE ISORA-VERA DE ERQUES  POR TEJINA DE GUÍA,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-490,75AD1C,000000
114,2,492,GUÍA DE ISORA-CHIO  POR CHIGUERGUE,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-492,75AD1C,000000
91,2,493,GUIA DE ISORA -> A. LOS GIGANTES-POR ALCALÁ,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-493,75AD1C,000000
177,2,494,GUÍA DE ISORA (C/ DEl CAMPO)-> LOS GIGANTES (POR PIEDRA HINCADA),3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-494,75AD1C,000000
253,2,606,LANZADERA ULL: ICOD DE LOS VINOS - CAMPUS GUAJARA,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-606,5C0A8A,FFFFFF
252,2,608,LANZADERA ULL: LOS REALEJOS - CAMPUS GUAJARA,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-608,5C0A8A,FFFFFF
178,2,711,SANTA CRUZ ->AEROPUERTO SUR - LOS CRISTIANOS - COSTA ADEJE (NOCTURNO),3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-711,75AD1C,000000
151,2,901,INTERCAMBIADOR - B.SALUD (CUESTA PIEDRA) (POR MIRAFLORES  RAMON Y CAJAL),3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-901,3F8FCF,000000
126,2,902,INTERCAMBIADOR - PLAZA LOS PATOS - BARRIO NUEVO,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-902,3F8FCF,000000
7,2,903,MUELLE NORTE - RAMBLAS - GARCÍA ESCÁMEZ - MORADITAS (PARTE BAJA),3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-903,3F8FCF,000000
125,2,904,PLAZA WEYLER-PUENTE ZURITA-LA SALUD-VUELTA LOS PAJAROS- OFRA-LAS RETAMAS,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-904,3F8FCF,000000
148,2,905,MUELLE NORTE - OFRA,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-905,3F8FCF,000000
31,2,906,INTERCAMBIADOR -> BARRIO LA SALUD(CUESTA PIEDRA) (POR BENITO PEREZ ARMAS),3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-906,3F8FCF,000000
92,2,908,INTERCAMBIADOR -> BARRIO DE OFRA-LAS RETAMAS -> INTERCAMBIADOR,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-908,3F8FCF,000000
32,2,909,INTERCAMBIADOR -> BARRIO DE LA ALEGRÍA,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-909,3F8FCF,000000
93,2,910,INTERCAMBIADOR -> SAN ANDRÉS->PLAYA DE LAS TERESITAS,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-910,3F8FCF,000000
94,2,911,MUELLE NORTE - RAMBLAS - CRUZ DEL SEÑOR - BARRIO DE LA SALUD - CUESTA PIEDRA,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-911,3F8FCF,000000
95,2,912,INTERCAMBIADOR -> IFARA-> LOS CAMPITOS,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-912,3F8FCF,000000
96,2,914,INTERCAMBIADOR -> PLAZA WEYLER-> C/EL PILAR->PLAZA DE ESPAÑA -> INTERCAMBIADOR,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-914,3F8FCF,000000
